codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
901068,,51,-23.0039,-43.434176,2023-07-26 04:53:56,0.0,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],50820.2,226.0
902003,,41,-22.845431,-43.238931,2023-07-26 04:53:57,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],17396.0,41.0
902102,,35,-22.879073,-43.336446,2023-07-26 04:53:41,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],12380.5,
901082,,53,-22.914583,-43.398951,2023-07-26 04:53:05,47.5,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],47070.2,319.0
902061,,46,-22.854806,-43.252068,2023-07-26 03:59:29,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],28945.9,
902066,,46,-22.85513,-43.252116,2023-07-26 04:47:07,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],31314.0,
902052,,46,-23.000877,-43.367265,2023-07-26 04:53:42,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],35615.9,
902050,,43,-22.940386,-43.372464,2023-07-26 04:53:57,0.0,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],31262.3,
12716,,20,-22.918433,-43.682887,2023-07-26 04:53:43,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],45562.3,
902063,,46,-22.99567,-43.365987,2023-07-26 04:53:46,55.4,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],33265.8,180.0
902060,,41,-22.854322,-43.251906,2023-07-26 04:53:57,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],30130.2,
902008,,46,-22.965357,-43.391626,2023-07-26 04:53:42,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],10524.8,
902047,,46,-22.854406,-43.251525,2023-07-26 04:53:55,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],23962.0,
902051,,46,-22.841533,-43.279412,2023-07-26 04:53:40,14.1,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],32986.9,297.0
902067,,46,-22.881773,-43.341874,2023-07-26 04:53:59,42.7,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],34086.4,189.0
901098,,51,-22.914249,-43.399245,2023-07-26 04:52:35,45.5,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],27283.9,323.0
901055,,51,-22.853622,-43.385172,2023-07-26 04:53:56,17.3,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],46656.5,14.0
901076,,52,-22.876708,-43.404554,2023-07-26 04:53:59,61.4,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],31268.5,321.0
902054,,46,-22.854721,-43.251896,2023-07-26 04:53:41,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35704.7,
901084,,53,-22.965478,-43.391641,2023-07-26 04:53:57,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],52298.2,
901070,,52,-22.900644,-43.39723,2023-07-26 04:53:17,129.7,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],40482.3,163.0
